spkr,age,lightlevel,contrast,.
1.386491871,0,mesopic,2,
1.21467936,0,mesopic,2,
1.33335311,0,mesopic,2,
1.168552262,0,mesopic,2,
1.250478593,0,mesopic,2,
1.153260901,0,mesopic,2,
1.190029657,0,mesopic,2,
1.433431108,0,mesopic,2,
1.231465908,0,mesopic,2,
1.240138989,0,mesopic,2,
1.233423605,0,mesopic,2,
1.195148687,0,mesopic,2,
1.243489279,0,mesopic,2,
1.386226418,0,mesopic,2,
1.247924261,0,mesopic,2,
1.4446598,0,mesopic,2,
1.119320695,0,mesopic,2,
1.229208101,0,mesopic,2,
1.264283634,0,mesopic,2,
1.292227212,0,mesopic,2,
1.311614936,0,mesopic,2,
1.242699321,0,mesopic,2,
1.28446516,0,mesopic,2,
1.24124017,0,mesopic,2,
1.109403251,0,mesopic,2,
1.310971333,0,mesopic,2,
1.094401053,0,mesopic,2,
1.144851772,0,mesopic,2,
1.252271927,0,mesopic,2,
1.232433365,0,mesopic,2,
1.145671555,0,mesopic,2,
1.257213878,0,mesopic,2,
1.151299795,0,mesopic,2,
1.330494019,0,mesopic,2,
1.100684464,0,mesopic,2,
1.232114401,0,mesopic,2,
1.416925482,0,mesopic,2,
1.176846017,0,mesopic,2,
1.296886243,0,mesopic,2,
1.186125359,0,mesopic,2,
1.282553502,0,mesopic,2,
1.278894344,0,mesopic,2,
1.299129463,0,mesopic,2,
1.044860328,0,mesopic,2,
1.154126481,0,mesopic,2,
0.954477127,0,mesopic,2,
1.244637984,0,mesopic,2,
1.131391089,0,mesopic,2,
1.207064446,0,mesopic,2,
1.220495784,0,mesopic,2,
1.264336561,0,mesopic,2,
1.128055746,0,mesopic,2,
1.353295268,0,mesopic,2,
0.923955177,0,mesopic,2,
1.246161827,0,mesopic,2,
1.327253905,0,mesopic,2,
1.272307263,0,mesopic,2,
1.374013823,0,mesopic,2,
1.309913386,0,mesopic,2,
1.234118479,0,mesopic,2,
1.142054619,0,mesopic,2,
1.170578145,0,mesopic,2,
1.469449873,0,mesopic,2,
1.383786068,0,mesopic,2,
1.224735446,0,mesopic,2,
1.140193585,0,mesopic,2,
1.084179037,0,mesopic,2,
1.384589266,0,mesopic,2,
1.2646657,0,mesopic,2,
1.234186812,0,mesopic,2,
1.25214876,0,mesopic,2,
1.370452324,0,mesopic,2,
1.284333021,0,mesopic,2,
1.38206228,0,mesopic,2,
1.243530854,0,mesopic,2,
1.237266188,0,mesopic,2,
1.24772643,0,mesopic,2,
1.158769233,0,mesopic,2,
1.105038879,0,mesopic,2,
1.360632355,0,mesopic,2,
1.098103032,0,mesopic,2,
1.295680955,0,mesopic,2,
1.349640249,0,mesopic,2,
1.387898441,0,mesopic,2,
0.933842082,0,mesopic,2,
1.386299476,0,mesopic,2,
