time_to_zero,rf_area,condition,stimulus
0.176,26018.6578770774,1M,photopic
0.1826,32075.5434066069,1M,photopic
0.2031,2900.20717760232,1M,photopic
0.2098,2535.88431271321,1M,photopic
0.2184,5731.44125271781,1M,photopic
0.2495,16297.5436990743,1M,photopic
0.174,18772.5931881674,1M,photopic
0.2386,21399.0088221752,1M,photopic
0.306213753106877,9567.6006945375,1M,photopic
0.284,48142.8700011566,1M,photopic
0.168,24067.1335019407,1M,photopic
0.1952,14434.8008395753,1M,photopic
0.1829,4581.73650706845,1M,photopic
0.1919,12315.9821884533,1M,photopic
0.2628,26750.1690500059,1M,photopic
NA,13575.8130835046,1M,photopic
0.1491,28425.5231912492,1M,photopic
0.2234,17708.5116983246,1M,photopic
0.1935,2264.99576440558,1M,photopic
0.2141,7010.45581994215,1M,photopic
0.2923,11412.2350026822,1M,photopic
0.2138,5453.67933172561,1M,photopic
0.1796,21821.25975076,1M,photopic
0.175,33645.3408307699,1M,photopic
0.1819,4949.04946432837,1M,photopic
0.2843,5587.26235126387,1M,photopic
0.17,3158.71343744693,1M,photopic
0.1717,1125.00237925944,1M,photopic
0.1637,4736.28580420893,1M,photopic
0.2184,35801.1434223493,1M,photopic
0.2002,9021.29008028612,1M,photopic
0.1766,3258.89180597357,1M,photopic
0.1912,3452.61819011155,1M,photopic
0.1859,2382.79091790994,1M,photopic
0.1869,14067.110107636,1M,photopic
0.2028,9478.59640515562,1M,photopic
0.2671,9781.64770610685,1M,photopic
0.1872,6698.6488954674,1M,photopic
0.1597,12207.7862719003,1M,photopic
0.1511,68269.1859642974,1M,photopic
0.1727,19477.8669422889,1M,photopic
0.163,19535.9084879747,1M,photopic
0.1949,14222.3343695735,1M,photopic
0.2548,27420.999931061,1M,photopic
0.1806,4145.54942256661,1M,photopic
0.396354598177299,1309.72384310825,1M,photopic
0.2429,6930.32652131243,1M,photopic
NA,5853.68335865715,1M,photopic
0.1836,7755.8836870869,1M,photopic
0.1475,24528.233741591,1M,photopic
0.1534,5621.42063101719,1M,photopic
0.165,11148.8582797074,1M,photopic
0.2529,9129.49178937717,1M,photopic
0.2442,8492.93601624342,1M,photopic
0.1846,25098.0258538489,1M,photopic
0.2244,7371.72450024339,1M,photopic
0.2174,30290.9201760967,1M,photopic
0.2585,8091.87406453246,1M,photopic
0.1425,31326.6896638829,1M,photopic
0.1796,6863.40321229027,1M,photopic
0.2224,14970.0663806438,1M,photopic
0.2959,10959.6194005176,1M,photopic
0.1647,10722.0387613302,1M,photopic
0.1882,13319.5219445807,1M,photopic
0.2061,37257.5162440099,1M,photopic
0.1614,8877.20223226008,1M,photopic
0.167,24253.6535954876,1M,photopic
0.2326,19310.9651468592,1M,photopic
0.1889,9669.7208848513,1M,photopic
0.1922,17729.5337309646,1M,photopic
0.1627,16147.9509175495,1M,photopic
0.2747,2328.82319964178,1M,photopic
0.171,15886.5989477693,1M,photopic
0.1538,27850.1055819046,1M,photopic
0.1909,34362.1008050562,1M,photopic
0.1919,33504.6409702161,1M,photopic
0.1455,7613.3347515574,1M,photopic
0.1899,16485.090022809,1M,photopic
0.1849,34482.3431220869,1M,photopic
0.2698,26215.060250882,1M,photopic
0.1809,4612.04568595069,1M,photopic
0.1829,24223.7137589343,1M,photopic
0.1601,10288.9907670171,1M,photopic
0.2035,10550.3783109916,1M,photopic
0.2651,12804.0296265483,1M,photopic
0.1932,19335.2665126553,1M,photopic
0.1674,17093.4052791443,1M,photopic
0.164,11962.2896069096,1M,photopic
0.1935,3832.02561389261,1M,photopic
0.1929,5211.908164458,1M,photopic
0.1475,29014.5545356252,1M,photopic
0.1514,35111.6450950097,1M,photopic
0.2144,7056.3567991857,1M,photopic
NA,12961.1683774241,1M,photopic
0.1505,43834.6335071258,1M,photopic
0.1872,11368.7534839117,1M,photopic
0.1829,17521.534636935,1M,photopic
0.1733,13765.5151890705,1M,photopic
0.1717,12361.8188708751,1M,photopic
0.1611,6164.68840799307,1M,photopic
0.1756,5830.34881394209,1M,photopic
0.1505,16458.3803768234,1M,photopic
0.1793,5665.45676919584,1M,photopic
0.1978,11804.6645751044,1M,photopic
0.2363,18102.2273006829,1M,photopic
0.2151,11547.2438137417,1M,photopic
0.2343,1861.10174512575,1M,photopic
0.1597,7194.06819825952,1M,photopic
0.1972,6870.88120586515,1M,photopic
0.300911350455675,4430.59558079911,1M,photopic
0.1518,4589.77073656462,1M,photopic
0.1955,4026.4516612883,1M,photopic
0.2379,4560.29010703003,1M,photopic
0.2336,6736.33524766447,1M,photopic
0.1833,15246.3167411405,1M,photopic
0.17,16473.4020722587,1M,photopic
0.164,12538.3519861991,1M,photopic
0.2353,6960.59253677703,1M,photopic
0.175,19881.4258702074,1M,photopic
0.1594,17679.9810367689,1M,photopic
0.1697,10281.0949259256,1M,photopic
0.2048,13770.1787051841,1M,photopic
0.2588,13826.8567334317,1M,photopic
0.1657,26710.3922188041,1M,photopic
0.2071,14108.8951405699,1M,photopic
0.2177,12861.8906911598,1M,photopic
0.169,22458.7784692053,1M,photopic
0.2022,11534.943738692,1M,photopic
NA,20195.2278903541,1M,photopic
0.2631,21693.0687730837,1M,photopic
0.2227,18323.3991968366,1M,photopic
0.1664,26507.1522116874,1M,photopic
0.1677,14028.2636627527,1M,photopic
0.1919,26981.8920740376,1M,photopic
0.1677,14458.7400990189,1M,photopic
0.2655,14913.7665367457,1M,photopic
0.1481,30308.934170702,1M,photopic
0.2051,10693.850986049,1M,photopic
0.179,4103.25543831714,1M,photopic
NA,11365.0185610798,1M,photopic
0.327754763877382,29883.3504926606,1M,photopic
0.1379,24115.9922904569,1M,photopic
0.1693,9990.98859415627,1M,photopic
0.1753,13076.217500109,1M,photopic
0.1982,16518.9037758164,1M,photopic
0.2088,7015.42627557599,1M,photopic
0.322783761391881,5697.71676590295,1M,photopic
0.1955,15877.0343386817,1M,photopic
0.1405,22499.2586555041,1M,photopic
0.1461,17626.2701622719,1M,photopic
0.2883,15963.1712734067,1M,photopic
0.1846,7580.42188383118,1M,photopic
0.173,1564.56656005369,1M,photopic
0.1498,19925.3802844472,1M,photopic
0.2953,11286.5204648655,1M,photopic
0.1783,13884.5542047777,1M,photopic
0.1972,33870.7686614976,1M,photopic
0.173,24487.2687431628,1M,photopic
0.169,8996.91102317592,1M,photopic
0.1674,8789.96219963357,1M,photopic
0.1766,8763.8617669978,1M,photopic
0.1402,31557.4591496246,1M,photopic
0.2439,8386.47061156816,1M,photopic
0.2297,10110.0666346343,1M,photopic
0.127257663628832,1997.97929547855,1M,photopic
0.2734,11626.8729838976,1M,photopic
0.2843,4932.57374379765,1M,photopic
0.1657,7958.27043931872,1M,photopic
0.2641,3956.27043004333,1M,photopic
0.2045,5370.81894661958,1M,photopic
0.1607,2022.6983009594,1M,photopic
0.294,30400.9948374783,1M,photopic
0.2565,15406.2501648537,1M,photopic
0.1395,4700.88792454744,1M,photopic
0.1481,14142.4955188745,1M,photopic
0.2568,8092.65698054728,1M,photopic
0.2389,11202.9088321709,1M,photopic
0.1856,8716.35900653768,1M,photopic
0.1564,22809.4873157649,1M,photopic
0.1455,8591.107970713,1M,photopic
0.1478,18431.1672355721,1M,photopic
0.1856,11494.6766138509,1M,photopic
0.1607,14077.1538626352,1M,photopic
0.1819,10927.0647189474,1M,photopic
0.165,26816.6295464653,1M,photopic
0.1949,5458.37855659143,1M,photopic
0.2217,13818.7281359728,1M,photopic
0.2572,10299.9145270779,1M,photopic
0.1581,13321.0970420072,1M,photopic
0.2515,10042.5104532034,1M,photopic
0.2323,10764.4593991749,1M,photopic
0.233,8111.41676413884,1M,photopic
0.2187,5277.38987469862,1M,photopic
0.1412,23896.826410629,1M,photopic
0.1336,23782.1741343931,1M,photopic
0.1316,21400.9659781162,1M,photopic
0.1862,16106.652612593,1M,photopic
0.175,9731.55408324887,1M,photopic
0.1577,5182.08319538462,1M,photopic
0.1561,1914.49541498012,1M,photopic
0.2532,9868.13720277935,1M,photopic
0.1929,11991.7042390474,1M,photopic
0.1935,22591.2876152937,1M,photopic
0.1329,28198.0308503085,1M,photopic
0.1375,17305.1207049466,1M,photopic
0.2777,15632.3556406496,1M,photopic
0.1823,14689.0002256422,1M,photopic
0.2333,12497.5547816138,1M,photopic
0.228,7084.45754273833,1M,photopic
0.2081,14311.2674999858,1M,photopic
0.1634,10016.8825751436,1M,photopic
0.1485,19050.4968400782,1M,photopic
0.166,11592.7499677461,1M,photopic
0.1674,13521.2291811824,1M,photopic
0.1514,3448.25245232019,1M,photopic
0.1329,21069.2665076303,1M,photopic
0.2147,10212.2827410553,1M,photopic
0.2777,11818.7676630705,1M,photopic
0.167,10045.3404123856,1M,photopic
0.1591,8858.12986764796,1M,photopic
0.2724,11922.0338361642,1M,photopic
0.2886,6059.73835623817,1M,photopic
0.1621,12027.7582069824,1M,photopic
0.1548,8299.1045272758,1M,photopic
0.1438,11460.2626395738,1M,photopic
0.1793,9374.1396990349,1M,photopic
0.1448,21470.4066045287,1M,photopic
0.163,2311.41821396572,1M,photopic
0.1541,9160.40572700796,1M,photopic
0.1614,6456.65631508951,1M,photopic
0.1475,17577.0632346392,1M,photopic
0.2085,5746.15860911798,1M,photopic
0.2075,8103.04642585398,1M,photopic
0.1687,7802.13037262246,1M,photopic
0.1329,33395.6083394004,1M,photopic
0.232,12255.7339427497,1M,photopic
0.164,5722.10848307605,1M,photopic
0.2323,4343.5406236353,1M,photopic
0.176,5607.74357655493,1M,photopic
0.2512,15024.7627187462,1M,photopic
0.1982,10378.3359515455,1M,photopic
0.1806,12587.2456631568,1M,photopic
0.1591,13414.3639748106,1M,photopic
0.1697,19884.0058932645,1M,photopic
0.2721,1474.43387001956,1M,photopic
0.2486,14097.7937879391,1M,photopic
0.1634,6009.6176774564,1M,photopic
0.2423,15252.5463526958,1M,photopic
0.1647,11112.0538868915,1M,photopic
0.1352,22371.4302556443,1M,photopic
0.1478,17325.1109674199,1M,photopic
0.174,6908.99802497398,1M,photopic
0.2283,18623.686228059,1M,photopic
0.229,15507.3525877144,1M,photopic
0.321789560894781,4795.02973782906,1M,photopic
0.1415,28817.899149462,1M,photopic
0.166,10514.3796548364,1M,photopic
0.2545,3895.8645069461,1M,photopic
0.165,13469.2618930507,1M,photopic
0.2134,16724.8776663636,1M,photopic
0.497431648715824,1339.00636670906,1M,photopic
0.2124,5912.27418250256,1M,photopic
NA,4696.34775147735,1M,photopic
0.174,2518.82578181767,1M,photopic
0.1939,11667.7827692081,1M,photopic
0.2645,3890.48565185676,1M,photopic
0.1581,2920.73998274236,1M,photopic
0.1756,10734.9927865129,1M,photopic
0.1584,2624.97661897327,1M,photopic
0.1534,19938.509388083,1M,photopic
0.2734,13983.2986514673,1M,photopic
0.1723,6268.28144096398,1M,photopic
0.1839,5516.03893405039,1M,photopic
0.2701,4615.59036914189,1M,photopic
0.2923,1694.78248607393,1M,photopic
0.2005,3572.46271176408,1M,photopic
0.2426,7367.53423062675,1M,photopic
0.2028,10001.0661084418,1M,photopic
0.2353,2721.58962560332,1M,photopic
0.1475,17814.2296637474,1M,photopic
0.1428,20733.7790605801,1M,photopic
0.1763,28380.4598244185,1M,photopic
0.229,3832.40074062971,1M,photopic
0.2479,1272.04480058378,1M,photopic
0.229,10034.2932076365,1M,photopic
0.1561,15306.4976444639,1M,photopic
0.1634,10541.5541973818,1M,photopic
0.1352,25697.4424458609,1M,photopic
0.1505,25040.2921636316,1M,photopic
0.2237,9432.24431855133,1M,photopic
0.1498,29084.8914637364,1M,photopic
0.2456,14879.1496105096,1M,photopic
0.2442,9043.41626997065,1M,photopic
0.1521,23403.4599941829,1M,photopic
0.1833,10089.815848957,1M,photopic
0.1399,32619.8576530595,1M,photopic
0.2018,11900.3627437872,1M,photopic
0.2035,14506.3299570184,1M,photopic
0.2429,4677.00880113495,1M,photopic
0.1511,16817.519772418502,1M,photopic
0.279,3201.95206571823,1M,photopic
0.2085,5543.88186562847,1M,photopic
0.1803,16327.0221877026,1M,photopic
0.2346,13246.8495371017,1M,photopic
0.2734,5018.58646966982,1M,photopic
0.2436,11390.3779231933,1M,photopic
0.2012,2812.13466191532,1M,photopic
0.1664,1711.99217015267,1M,photopic
0.2698,8042.61612219781,1M,photopic
0.1992,8055.33968825346,1M,photopic
0.226,1717.61363099093,1M,photopic
0.2466,5218.6324164727,1M,photopic
0.2476,3493.99756403435,1M,photopic
0.234,14088.8413321672,1M,photopic
0.2068,13736.5834498255,1M,photopic
0.1713,4989.69356524087,1M,photopic
0.2287,2498.85197330147,1M,photopic
0.1988,4721.24271461989,1M,photopic
0.2204,7112.69620224903,1M,photopic
0.1793,14567.1590697783,1M,photopic
0.177,11488.7051957205,1M,photopic
0.2075,3100.11533960623,1M,photopic
0.414581607290804,9847.94857455961,1M,photopic
