spikerate,info,index,genotype,months
12.3333333333333,7.86627768774012,369,WT,0
15.2222222222222,16.1968316433725,372,WT,0
3.88888888888889,9.34459808697263,388,WT,0
6,10.4257299404047,397,WT,0
13.1111111111111,23.5711631122672,412,WT,0
7.77777777777778,11.1681479800381,414,WT,0
51.3333333333333,44.1087213317171,422,WT,0
6.55555555555556,8.34054725770017,427,WT,0
5.77777777777778,10.6125354872584,430,WT,0
45.7777777777778,46.5226569804592,433,WT,0
11.2222222222222,4.74774096155924,51,Degenerative,1
38.8888888888889,5.43509647058897,53,Degenerative,1
11.5555555555556,7.39219649144563,69,Degenerative,1
25.5555555555556,4.94149700252475,71,Degenerative,1
3.22222222222222,4.61439862405231,103,Degenerative,1
22.2222222222222,5.00649225128123,106,Degenerative,1
31.8888888888889,5.66628624753056,110,Degenerative,1
11.5555555555556,10.517940222274,140,Degenerative,1
7.77777777777778,6.77822155267855,141,Degenerative,1
3.11111111111111,5.17363722288329,142,Degenerative,1
11.1111111111111,5.22749076427088,143,Degenerative,1
15.5555555555556,8.98057265157461,155,Degenerative,1
27,5.16751401796785,167,Degenerative,1
4.88888888888889,4.92390873255178,170,Degenerative,1
9.33333333333333,5.05358546469056,180,Degenerative,1
5.11111111111111,5.00297834066865,183,Degenerative,1
5.44444444444444,5.5555487708999,189,Degenerative,1
3,4.87636692202132,195,Degenerative,1
21.5555555555556,5.60884277538554,212,Degenerative,1
8.22222222222222,7.80018588490477,213,Degenerative,1
4.33333333333333,4.92958400560027,214,Degenerative,1
8.88888888888889,7.23979635156561,216,Degenerative,1
16.8888888888889,4.99547387215245,218,Degenerative,1
20,5.09937366302572,226,Degenerative,1
19.7777777777778,6.29875623184843,234,Degenerative,1
10.5555555555556,4.50383211025533,239,Degenerative,1
16.4444444444444,6.59467748743576,248,Degenerative,1
29,4.50685578337696,255,Degenerative,1
9.88888888888889,7.72948410361446,256,Degenerative,1
31.4444444444444,4.99442679329379,259,Degenerative,1
5.88888888888889,5.00428824980926,273,Degenerative,1
27.4444444444444,7.02303383117275,278,Degenerative,1
7.11111111111111,4.94849555431312,287,Degenerative,1
27.8888888888889,8.49870017968602,334,Degenerative,1
41.5555555555556,9.66480543767499,337,Degenerative,1
8.33333333333333,5.59253562598307,344,Degenerative,1
5.77777777777778,4.70888175174653,354,Degenerative,1
21.7777777777778,7.39006999290584,366,Degenerative,1
14.2222222222222,6.43858626463208,371,Degenerative,1
24.5555555555556,6.51744049383485,372,Degenerative,1
8,6.36368873539951,377,Degenerative,1
29.5555555555556,7.1939565621852,396,Degenerative,1
13.1111111111111,6.18244072189252,401,Degenerative,1
16.8888888888889,5.45735646347683,405,Degenerative,1
16.2222222222222,5.33230222891151,417,Degenerative,1
4.77777777777778,8.56550013211342,418,Degenerative,1
13.2222222222222,6.0353677200464,420,Degenerative,1
13.6666666666667,4.61108688001961,422,Degenerative,1
31,8.47254817363552,424,Degenerative,1
13.2222222222222,9.98572464241157,425,Degenerative,1
3,5.53013688929919,426,Degenerative,1
7.44444444444444,7.52088132186004,441,Degenerative,1
5.77777777777778,5.20914817027947,454,Degenerative,1
13.3333333333333,7.4692875468869,522,Degenerative,1
14.1111111111111,14.600849765233,59,Degenerative,1
11.3333333333333,10.761145448297,62,Degenerative,1
12.2222222222222,17.2807212026642,64,Degenerative,1
17.4444444444444,14.6181099122497,83,Degenerative,1
24.3333333333333,9.58847648006598,85,Degenerative,1
12.2222222222222,14.3961913483972,88,Degenerative,1
13.4444444444444,14.2822512328247,102,Degenerative,1
8.44444444444444,14.358411789815,152,Degenerative,1
18.8888888888889,15.2544013292963,162,Degenerative,1
14.2222222222222,13.0472663471843,178,Degenerative,1
14.3333333333333,19.6598265931711,190,Degenerative,1
18,15.4249552367513,197,Degenerative,1
5.55555555555556,9.59599520884645,217,Degenerative,1
13.3333333333333,15.6144396560166,239,Degenerative,1
5.33333333333333,11.4821385884423,284,Degenerative,1
54.2222222222222,15.3779657877435,288,Degenerative,1
6.88888888888889,11.1018828108071,298,Degenerative,1
10,13.0120256816761,303,Degenerative,1
12.8888888888889,14.6581313616829,322,Degenerative,1
21,17.4967095953899,323,Degenerative,1
35.3333333333333,11.4089740129411,327,Degenerative,1
11.1111111111111,15.5309810576705,328,Degenerative,1
16.7777777777778,16.2643422782196,330,Degenerative,1
12.4444444444444,16.0729852357689,335,Degenerative,1
5.77777777777778,10.783776050121,338,Degenerative,1
7.22222222222222,11.5141571181301,344,Degenerative,1
4.33333333333333,9.57907313500458,349,Degenerative,1
18.2222222222222,19.2673534064204,358,Degenerative,1
23.1111111111111,16.5965276216626,364,Degenerative,1
15.4444444444444,17.4772524778969,376,Degenerative,1
10.1111111111111,16.9038727030502,377,Degenerative,1
17.6666666666667,19.9993608026662,378,Degenerative,1
21.5555555555556,15.5067426546414,379,Degenerative,1
24,19.8499050449763,380,Degenerative,1
24.4444444444444,15.2890807517585,382,Degenerative,1
21,15.0293479294164,396,Degenerative,1
7,10.1953670013085,397,Degenerative,1
11.6666666666667,10.5700944883846,398,Degenerative,1
13.5555555555556,17.2034038457334,402,Degenerative,1
4.66666666666667,10.5464587135196,425,Degenerative,1
18.5555555555556,11.7496297814154,427,Degenerative,1
6.66666666666667,12.2566560144003,437,Degenerative,1
7.77777777777778,11.4917774268677,444,Degenerative,1
11.1111111111111,13.6812296267341,450,Degenerative,1
18.5555555555556,23.9313374221677,455,Degenerative,1
14.3333333333333,15.7234178621112,462,Degenerative,1
11,11.6551839162046,500,Degenerative,1
12.7777777777778,14.4520428876495,501,Degenerative,1
11.6666666666667,14.6096177375138,504,Degenerative,1
20.3333333333333,10.7455517423219,505,Degenerative,1
12.6666666666667,13.4187774091455,512,Degenerative,1
19,9.95000668313798,517,Degenerative,1
8.77777777777778,9.88930466456148,520,Degenerative,1
16.3333333333333,10.9686865449908,521,Degenerative,1
30.6666666666667,22.7265941302578,21,Degenerative,1
30.3333333333333,25.3542878626684,38,Degenerative,1
21.3333333333333,14.1937656313307,53,Degenerative,1
32.2222222222222,22.9878844829273,82,Degenerative,1
13.8888888888889,13.3362303017834,84,Degenerative,1
34.7777777777778,22.7090250421401,98,Degenerative,1
46.1111111111111,30.3072240426875,109,Degenerative,1
18.2222222222222,17.500602892855,112,Degenerative,1
13,14.2694681710755,116,Degenerative,1
21.6666666666667,13.7036756261323,123,Degenerative,1
13,12.8471285313226,124,Degenerative,1
44.7777777777778,32.0829978262138,132,Degenerative,1
53,28.5610263219853,142,Degenerative,1
5.44444444444444,12.0958269465094,143,Degenerative,1
29.3333333333333,25.8979598581101,160,Degenerative,1
29.7777777777778,14.8180463695451,189,Degenerative,1
46.5555555555556,30.8279564923399,194,Degenerative,1
5.33333333333333,11.9093441390464,202,Degenerative,1
48,27.4526328674368,211,Degenerative,1
17.7777777777778,16.8805534441311,223,Degenerative,1
18,13.1171360894155,227,Degenerative,1
26.6666666666667,25.8377011342068,238,Degenerative,1
7,14.1344161679543,257,Degenerative,1
19,12.7747079034354,258,Degenerative,1
31.5555555555556,16.1261079746376,259,Degenerative,1
42.2222222222222,18.5205422080969,262,Degenerative,1
30.8888888888889,23.0784077429636,272,Degenerative,1
43,30.2746283844595,273,Degenerative,1
42.5555555555556,29.9384102715999,278,Degenerative,1
48.6666666666667,35.2463701420979,280,Degenerative,1
44.4444444444444,28.90174082308,298,Degenerative,1
25.7777777777778,19.4472984777235,307,Degenerative,1
10,16.7873226330586,315,Degenerative,1
9.44444444444444,12.1347909039955,331,Degenerative,1
17.1111111111111,15.4657859087128,333,Degenerative,1
4.88888888888889,11.4073420632123,335,Degenerative,1
19.8888888888889,14.8526992608013,341,Degenerative,1
19.7777777777778,13.1356264653588,342,Degenerative,1
33.7777777777778,20.5736041909575,350,Degenerative,1
30.3333333333333,13.0653011591659,352,Degenerative,1
46.3333333333333,27.6908964928866,418,Degenerative,1
48.6666666666667,30.3396739872185,435,Degenerative,1
12.8888888888889,16.1127644262921,436,Degenerative,1
10.5555555555556,12.8354968939716,437,Degenerative,1
12.2222222222222,12.9473409285388,471,Degenerative,1
13.8888888888889,13.1495070202088,477,Degenerative,1
14,21.8533592700296,481,Degenerative,1
10,11.7340687435382,486,Degenerative,1
14,18.5102600521656,487,Degenerative,1
50,27.4664728077614,492,Degenerative,1
27,24.0136302342239,508,Degenerative,1
47.4444444444444,31.9395632864143,527,Degenerative,1
10.6666666666667,16.139853187266,528,Degenerative,1
55.4444444444444,38.9155165454991,530,Degenerative,1
51.8888888888889,39.6052511016552,557,Degenerative,1
