spkr,age,lightlevel,contrast,.
1.763802327,0,photopic,2,
1.741718773,0,photopic,2,
1.843055465,0,photopic,2,
1.762274473,0,photopic,2,
1.7834357,0,photopic,2,
1.688949335,0,photopic,2,
1.824980055,0,photopic,2,
1.66340075,0,photopic,2,
1.712237583,0,photopic,2,
1.759432274,0,photopic,2,
1.760102637,0,photopic,2,
1.728841382,0,photopic,2,
1.827635748,0,photopic,2,
1.762946925,0,photopic,2,
1.746923628,0,photopic,2,
1.709195272,0,photopic,2,
1.803607105,0,photopic,2,
1.654108186,0,photopic,2,
1.992432823,0,photopic,2,
1.704028682,0,photopic,2,
1.830177305,0,photopic,2,
1.777489115,0,photopic,2,
1.831157823,0,photopic,2,
1.664542483,0,photopic,2,
1.703990843,0,photopic,2,
1.674422982,0,photopic,2,
1.774234347,0,photopic,2,
1.628512744,0,photopic,2,
1.775927115,0,photopic,2,
1.740438926,0,photopic,2,
1.9344116,0,photopic,2,
1.735526247,0,photopic,2,
1.738331823,0,photopic,2,
1.677592802,0,photopic,2,
1.726725847,0,photopic,2,
1.769193562,0,photopic,2,
1.793792149,0,photopic,2,
1.861798835,0,photopic,2,
1.851808916,0,photopic,2,
1.739335456,0,photopic,2,
1.897246267,0,photopic,2,
1.563552644,0,photopic,2,
1.815361082,0,photopic,2,
1.695193784,0,photopic,2,
1.888749351,0,photopic,2,
1.711862102,0,photopic,2,
1.888417206,0,photopic,2,
1.754593991,0,photopic,2,
1.55286176,0,photopic,2,
1.703087177,0,photopic,2,
1.56755885,0,photopic,2,
1.768769324,0,photopic,2,
1.949112063,0,photopic,2,
1.511593703,0,photopic,2,
1.852885779,0,photopic,2,
1.603213128,0,photopic,2,
1.94149443,0,photopic,2,
1.894947674,0,photopic,2,
1.661974415,0,photopic,2,
1.722507266,0,photopic,2,
1.742775797,0,photopic,2,
1.710241554,0,photopic,2,
2.020939901,0,photopic,2,
1.763624248,0,photopic,2,
1.67517816,0,photopic,2,
1.81694843,0,photopic,2,
1.771164667,0,photopic,2,
1.74266321,0,photopic,2,
1.740294502,0,photopic,2,
1.79710602,0,photopic,2,
1.638310996,0,photopic,2,
1.62802061,0,photopic,2,
1.922988933,0,photopic,2,
1.533612324,0,photopic,2,
1.751337902,0,photopic,2,
1.635879353,0,photopic,2,
1.778389276,0,photopic,2,
1.855822695,0,photopic,2,
1.532320697,0,photopic,2,
1.844108754,0,photopic,2,
1.744753655,0,photopic,2,
1.608824707,0,photopic,2,
1.547346791,0,photopic,2,
1.824460504,0,photopic,2,
