spikerate,info,index,genotype,months,.
4.333333333,12.34425661,87,Degenerative,1,
11.22222222,18.30981879,101,Degenerative,1,
7.777777778,12.13541999,116,Degenerative,1,
11,14.09071522,120,Degenerative,1,
3.888888889,12.4412978,137,Degenerative,1,
9.111111111,11.49312658,158,Degenerative,1,
13.77777778,14.04698398,174,Degenerative,1,
7.444444444,13.86847536,182,Degenerative,1,
23.55555556,18.61681765,202,Degenerative,1,
15.88888889,17.55877781,220,Degenerative,1,
6,13.84367482,224,Degenerative,1,
24.77777778,19.39169429,231,Degenerative,1,
4.333333333,12.28363941,238,Degenerative,1,
9.111111111,21.18229108,253,Degenerative,1,
7.666666667,16.26163392,263,Degenerative,1,
11.77777778,10.81930905,284,Degenerative,1,
4.888888889,11.65943252,313,Degenerative,1,
22.33333333,16.00809208,320,Degenerative,1,
8.666666667,11.24254316,348,Degenerative,1,
8.777777778,12.55610631,377,Degenerative,1,
14.11111111,17.04887906,397,Degenerative,1,
6.777777778,11.62862793,432,Degenerative,1,
11.11111111,16.40517244,439,Degenerative,1,
9.666666667,15.77929994,26,Degenerative,1,
15.44444444,12.97781457,34,Degenerative,1,
21.66666667,18.91102166,46,Degenerative,1,
6.222222222,14.85677889,83,Degenerative,1,
14.33333333,21.27917351,96,Degenerative,1,
7.333333333,12.19577335,109,Degenerative,1,
29.22222222,22.58220645,128,Degenerative,1,
54.11111111,19.28965302,135,Degenerative,1,
14.44444444,14.05952114,164,Degenerative,1,
15,13.10946147,190,Degenerative,1,
18.55555556,22.20024736,207,Degenerative,1,
19.66666667,20.41045922,210,Degenerative,1,
25.77777778,23.66373293,215,Degenerative,1,
14.77777778,23.87118802,225,Degenerative,1,
21.22222222,15.98385057,235,Degenerative,1,
16.22222222,26.41437746,246,Degenerative,1,
4.888888889,12.83543926,262,Degenerative,1,
4.888888889,12.4378704,274,Degenerative,1,
8,12.15830787,281,Degenerative,1,
22.66666667,25.64142692,291,Degenerative,1,
9.111111111,16.45343986,310,Degenerative,1,
9.555555556,12.26285099,346,Degenerative,1,
12.11111111,19.37672186,365,Degenerative,1,
11,15.33163209,376,Degenerative,1,
11.88888889,12.00835872,407,Degenerative,1,
12.33333333,14.5359922,429,Degenerative,1,
7.222222222,13.63458778,443,Degenerative,1,
13.77777778,23.14688467,87,Degenerative,1,
22.77777778,18.93783553,92,Degenerative,1,
9.777777778,18.66068772,131,Degenerative,1,
27.11111111,18.28080856,162,Degenerative,1,
10.11111111,21.27753218,193,Degenerative,1,
49.33333333,29.74113404,276,Degenerative,1,
11.55555556,18.25650787,306,Degenerative,1,
35.44444444,24.88706347,309,Degenerative,1,
42.88888889,28.72908779,316,Degenerative,1,
13,23.08603462,318,Degenerative,1,
28.22222222,18.75538713,334,Degenerative,1,
10.55555556,19.6099333,338,Degenerative,1,
11.88888889,22.9123677,343,Degenerative,1,
13.11111111,22.03598889,347,Degenerative,1,
13.88888889,23.07362592,360,Degenerative,1,
10.11111111,18.82469377,364,Degenerative,1,
