psd_ratio,age,.
0.216534481,0,
0.190548042,0,
0.334850987,0,
0.214654064,0,
0.241889505,0,
0.137465744,0,
0.303833519,0,
0.115608183,0,
0.159472582,0,
0.211189857,0,
0.212002988,0,
0.176500188,0,
0.3082249,0,
0.215480111,0,
0.196449108,0,
0.15647739,0,
0.27044768,0,
0.108212086,0,
0.151475618,0,
0.312480047,0,
0.23396912,0,
0.314135509,0,
0.116536823,0,
0.151439376,0,
0.124758555,0,
0.229724554,0,
0.089298012,0,
0.231924234,0,
0.189117134,0,
0.183696732,0,
0.186778342,0,
0.127467596,0,
0.174264621,0,
0.223273551,0,
0.256214816,0,
0.350853299,0,
0.187889702,0,
0.050589212,0,
0.288386359,0,
0.143163226,0,
0.425832911,0,
0.159100889,0,
0.42510443,0,
0.205392092,0,
0.045478178,0,
0.150575476,0,
0.052595413,0,
0.22273731,0,
0.028989773,0,
0.072651266,0,
0.552772935,0,
0.114454221,0,
0.169865341,0,
0.191735771,0,
0.15750325,0,
0.216314649,0,
0.125400774,0,
0.290886836,0,
0.225778572,0,
0.191609004,0,
0.188956155,0,
0.260946953,0,
0.096289363,0,
0.088954924,0,
0.505919247,0,
0.037156237,0,
0.201559166,0,
0.094525707,0,
0.235154213,0,
0.036637842,0,
0.336741843,0,
0.193972761,0,
0.076169808,0,
0.042978896,0,
0.302980904,0,
0.181418225,0,
0.227751406,0,
0.32202812,0,
0.187640498,0,
0.139810064,0,
0.109928219,0,
0.089309601,0,
0.142387565,0,
0.114992983,0,
0.255649835,0,
0.087771095,0,
0.088108504,0,
0.162289438,0,
0.148374442,0,
0.326689224,0,
0.068873218,0,
0.155304575,0,
0.11981144,0,
0.158493801,0,
0.187214648,0,
0.221907506,0,
0.232956202,0,
0.134391908,0,
0.070695736,0,
0.162494397,0,
0.216127203,0,
0.360345632,0,
0.170562927,0,
0.165506048,0,
0.120046743,0,
0.257209525,0,
0.137261994,0,
0.255874877,0,
0.06352103,0,
0.143506144,0,
0.167942509,0,
0.14833253,0,
0.238966563,0,
0.153524604,0,
0.113480799,0,
0.299467097,0,
0.14926402,0,
0.260067509,0,
0.182211971,0,
0.261952183,0,
0.195148347,0,
0.262038892,0,
0.154476554,0,
0.03409845,0,
0.21983149,0,
0.102724558,0,
0.092560756,0,
0.151550246,0,
