info,num_trials,trial_length,condition,.
26.38019716,20,10,WT,
27.72690052,20,10,WT,
27.86586615,20,10,WT,
35.38840137,20,10,WT,
25.20533599,20,10,WT,
27.71257357,20,10,WT,
32.5219829,20,10,WT,
30.02431482,20,10,WT,
26.13922384,20,10,WT,
24.46610584,30,10,WT,
29.4205091,30,10,WT,
26.59783334,30,10,WT,
21.08404991,30,10,WT,
27.87635617,30,10,WT,
21.97209482,30,10,WT,
28.44780598,30,10,WT,
31.64567838,30,10,WT,
23.59596397,30,10,WT,
21.389519,40,10,WT,
24.86402565,40,10,WT,
30.46436689,40,10,WT,
22.46621788,40,10,WT,
20.15112101,40,10,WT,
21.69803122,40,10,WT,
22.7269502,40,10,WT,
28.1299779,40,10,WT,
27.25514207,40,10,WT,
31.83801113,40,10,WT,
28.9798523,40,10,WT,
30.04727928,50,10,WT,
21.22299377,50,10,WT,
18.75295444,50,10,WT,
30.2411623,50,10,WT,
24.1924226,50,10,WT,
29.18539721,50,10,WT,
23.85811792,50,10,WT,
29.7943391,50,10,WT,
23.39401993,50,10,WT,
23.70787274,50,10,WT,
21.34249266,50,10,WT,
19.48537306,50,10,WT,
27.19146578,50,10,WT,
26.04024585,50,10,WT,
22.1070724,50,10,WT,
22.69219418,50,10,WT,
24.7280557,60,10,WT,
27.32153659,60,10,WT,
29.2765078,60,10,WT,
18.16039327,60,10,WT,
28.39481464,60,10,WT,
18.38026855,60,10,WT,
21.49482009,60,10,WT,
24.71411568,60,10,WT,
26.40474942,60,10,WT,
24.2934256,60,10,WT,
21.27002981,60,10,WT,
28.33121985,60,10,WT,
21.63340823,60,10,WT,
28.5807489,60,10,WT,
21.23734609,60,10,WT,
28.429414,60,10,WT,
21.04533987,60,10,WT,
23.97687159,60,10,WT,
23.38769425,60,10,WT,
19.89785728,70,10,WT,
25.21684167,70,10,WT,
23.96518889,70,10,WT,
24.86284846,70,10,WT,
23.42063056,70,10,WT,
29.72283363,70,10,WT,
21.39642907,70,10,WT,
22.49268853,70,10,WT,
26.02119129,70,10,WT,
24.8865957,70,10,WT,
20.99089268,70,10,WT,
28.45045196,70,10,WT,
22.06133387,70,10,WT,
24.00279214,70,10,WT,
20.89916896,70,10,WT,
26.44642124,70,10,WT,
29.3578718,80,10,WT,
25.81180756,80,10,WT,
27.59481609,80,10,WT,
26.34448079,80,10,WT,
28.76806009,80,10,WT,
25.60191793,80,10,WT,
19.4551037,80,10,WT,
16.55982853,80,10,WT,
21.59567739,80,10,WT,
24.73347418,80,10,WT,
16.50132545,80,10,WT,
27.83291317,90,10,WT,
26.59567772,90,10,WT,
17.07113492,90,10,WT,
20.65500075,90,10,WT,
20.66080446,90,10,WT,
27.49781252,90,10,WT,
28.56137147,90,10,WT,
27.74945086,90,10,WT,
23.22947523,90,10,WT,
28.26913959,90,10,WT,
27.5704284,90,10,WT,
17.0104721,90,10,WT,
23.07076589,90,10,WT,
18.05241441,90,10,WT,
21.20640905,90,10,WT,
26.44866031,90,10,WT,
20.27002936,100,10,WT,
26.18808027,100,10,WT,
20.0045213,100,10,WT,
28.62068471,100,10,WT,
21.07864611,100,10,WT,
26.06161988,100,10,WT,
21.62319084,100,10,WT,
17.89749765,100,10,WT,
21.79497564,100,10,WT,
26.62880451,100,10,WT,
26.80800565,100,10,WT,
29.11089725,100,10,WT,
28.50586236,100,10,WT,
20.96185033,20,10,3M,
24.75447258,20,10,3M,
18.39126157,20,10,3M,
19.73832829,20,10,3M,
25.88608794,20,10,3M,
30.29241082,20,10,3M,
19.9000123,20,10,3M,
19.37623845,20,10,3M,
26.37034727,20,10,3M,
26.09004571,20,10,3M,
19.01618587,20,10,3M,
20.27492829,20,10,3M,
30.2801626,20,10,3M,
30.04442023,20,10,3M,
18.47216291,20,10,3M,
25.23304169,20,10,3M,
22.48898827,20,10,3M,
28.33060257,20,10,3M,
25.05788667,20,10,3M,
20.53792286,20,10,3M,
30.36346015,20,10,3M,
24.87443815,30,10,3M,
17.13602299,30,10,3M,
26.14457861,30,10,3M,
24.24899348,30,10,3M,
18.80311496,30,10,3M,
16.97226177,30,10,3M,
26.20619291,30,10,3M,
20.94128925,30,10,3M,
21.37209298,30,10,3M,
27.50063933,30,10,3M,
24.1568336,30,10,3M,
25.58160812,30,10,3M,
19.66822006,30,10,3M,
19.99541231,30,10,3M,
27.28457935,30,10,3M,
18.0877032,30,10,3M,
21.66436427,30,10,3M,
22.27629773,30,10,3M,
18.9823634,30,10,3M,
22.47644105,30,10,3M,
20.24184328,40,10,3M,
16.6384428,40,10,3M,
27.4044041,40,10,3M,
19.05357837,40,10,3M,
20.01828969,40,10,3M,
21.78944106,40,10,3M,
20.58940822,40,10,3M,
22.25291097,40,10,3M,
20.23182722,40,10,3M,
20.86273926,40,10,3M,
21.79581434,40,10,3M,
27.20565214,40,10,3M,
19.69697243,40,10,3M,
21.78570416,40,10,3M,
21.64542324,40,10,3M,
17.36229493,40,10,3M,
24.88738757,40,10,3M,
21.88206691,40,10,3M,
26.32993659,40,10,3M,
26.85963329,40,10,3M,
18.19721896,40,10,3M,
22.84297229,40,10,3M,
17.76326035,40,10,3M,
25.64351479,40,10,3M,
17.24234782,40,10,3M,
19.08715056,40,10,3M,
16.73122342,40,10,3M,
18.86551309,40,10,3M,
19.26361412,50,10,3M,
20.40841258,50,10,3M,
17.22209401,50,10,3M,
26.43577176,50,10,3M,
15.87839095,50,10,3M,
24.71044771,50,10,3M,
24.98074551,50,10,3M,
21.7228195,50,10,3M,
20.6276604,50,10,3M,
23.78583067,50,10,3M,
25.63366849,50,10,3M,
17.52178117,50,10,3M,
21.92156128,50,10,3M,
21.80797701,50,10,3M,
21.33965649,50,10,3M,
21.35498587,50,10,3M,
20.17169933,50,10,3M,
18.51231388,50,10,3M,
24.15949184,60,10,3M,
20.62669129,60,10,3M,
25.99402751,60,10,3M,
18.23272057,60,10,3M,
17.19607619,60,10,3M,
18.26458597,60,10,3M,
19.86477517,60,10,3M,
17.78425535,60,10,3M,
18.42519072,60,10,3M,
18.54993361,60,10,3M,
25.91941905,60,10,3M,
19.54818645,60,10,3M,
24.44393898,60,10,3M,
20.77020844,60,10,3M,
16.59840753,70,10,3M,
16.51955207,70,10,3M,
23.12614364,70,10,3M,
22.24797046,70,10,3M,
22.27719538,70,10,3M,
15.86994521,70,10,3M,
24.02817339,70,10,3M,
18.72459845,70,10,3M,
22.71787597,70,10,3M,
21.3956491,70,10,3M,
22.94413858,70,10,3M,
22.35854183,70,10,3M,
24.7337584,70,10,3M,
23.07761759,70,10,3M,
25.8753615,70,10,3M,
24.40764445,70,10,3M,
15.86113711,70,10,3M,
23.64045947,70,10,3M,
16.18689549,70,10,3M,
16.69592535,70,10,3M,
15.5992044,70,10,3M,
16.39374237,70,10,3M,
16.17497517,70,10,3M,
23.03479127,80,10,3M,
21.85777029,80,10,3M,
23.51657999,80,10,3M,
17.39847351,80,10,3M,
18.0531524,80,10,3M,
25.11538459,80,10,3M,
26.11704326,80,10,3M,
16.52877415,80,10,3M,
18.12525464,80,10,3M,
22.36199849,80,10,3M,
22.10503564,80,10,3M,
19.44370928,80,10,3M,
24.84182667,80,10,3M,
17.4315741,80,10,3M,
17.7314654,80,10,3M,
23.88452817,80,10,3M,
22.41708816,80,10,3M,
23.67265304,80,10,3M,
21.32331168,80,10,3M,
19.61152768,80,10,3M,
18.03160613,80,10,3M,
16.35787116,90,10,3M,
22.73467359,90,10,3M,
25.72465167,90,10,3M,
24.17373982,90,10,3M,
17.38325208,90,10,3M,
17.47903817,90,10,3M,
22.51396801,90,10,3M,
16.4166569,90,10,3M,
23.3843663,90,10,3M,
26.28007424,90,10,3M,
22.57491038,90,10,3M,
24.94671762,90,10,3M,
19.63854931,90,10,3M,
19.36096284,90,10,3M,
20.22758021,90,10,3M,
20.22447295,90,10,3M,
15.71636909,90,10,3M,
21.96019775,90,10,3M,
19.59298922,90,10,3M,
25.53870157,90,10,3M,
19.96440856,90,10,3M,
16.90233967,90,10,3M,
16.26927811,100,10,3M,
25.81162875,100,10,3M,
25.44173046,100,10,3M,
20.81487061,100,10,3M,
24.01772664,100,10,3M,
20.30451369,100,10,3M,
18.39130672,100,10,3M,
15.65183611,100,10,3M,
19.3429131,100,10,3M,
21.6376221,100,10,3M,
25.4042144,100,10,3M,
21.37777641,100,10,3M,
21.72183518,100,10,3M,
20.8924708,100,10,3M,
19.41665647,100,10,3M,
19.75180426,100,10,3M,
23.0325456,100,10,3M,
22.40159667,100,10,3M,
22.00003317,100,10,3M,
20.03632879,100,10,3M,
16.02221639,100,10,3M,
16.58717614,100,10,3M,
17.51340668,100,10,3M,
23.16152084,100,10,3M,
15.02209428,20,10,5M,
17.63569159,20,10,5M,
23.09239838,20,10,5M,
23.38143543,20,10,5M,
24.68268655,20,10,5M,
19.84354007,20,10,5M,
24.05602966,20,10,5M,
17.04286215,20,10,5M,
23.05340857,20,10,5M,
15.62927045,20,10,5M,
16.48833596,20,10,5M,
23.90476386,20,10,5M,
24.83248232,20,10,5M,
24.99593984,20,10,5M,
24.58905149,20,10,5M,
23.37907028,20,10,5M,
24.07549213,20,10,5M,
15.43179458,20,10,5M,
18.28341297,20,10,5M,
24.65803439,20,10,5M,
16.83652935,20,10,5M,
21.42783078,20,10,5M,
17.0167681,30,10,5M,
